GeologyInterval UID,Lithology Count,Lithology UID
int88TJMG30,0,No Lithology
int87TJMG30,1,int87TJMG301
int86TJMG30,0,No Lithology
int85TJMG30,1,int85TJMG301
80TJMG30,0,No Lithology
79TJMG30,0,No Lithology
97TJMG30,1,97TJMG301
96TJMG30,0,No Lithology
95TJMG30,0,No Lithology
94TJMG30,2,94TJMG302
94TJMG30,2,94TJMG301
93TJMG30,1,93TJMG302
int126TJMG30,0,No Lithology
int125TJMG30,1,int125TJMG301
92TJMG30,0,No Lithology
int124TJMG30,0,No Lithology
int123TJMG30,1,int123TJMG301
int122TJMG30,0,No Lithology
int121TJMG30,1,int121TJMG301
91TJMG30,0,No Lithology
int120TJMG30,0,No Lithology
int119TJMG30,0,No Lithology
int118TJMG30,1,int118TJMG301
int117TJMG30,0,No Lithology
int116TJMG30,1,int116TJMG301
90TJMG30,2,90TJMG301
90TJMG30,2,90TJMG302
int115TJMG30,0,No Lithology
int114TJMG30,0,No Lithology
98TJMG30,0,No Lithology
99TJMG30,0,No Lithology
int113TJMG30,1,int113TJMG301
int130TJMG30,0,No Lithology
100TJMG30,1,100TJMG301
int129TJMG30,0,No Lithology
int128TJMG30,0,No Lithology
int127TJMG30,0,No Lithology
int445TJMG30,0,No Lithology
253TJMG30,1,253TJMG302
int529TJMG30,0,No Lithology
int528TJMG30,1,int528TJMG301
252TJMG30,0,No Lithology
int527TJMG30,0,No Lithology
int526TJMG30,1,int526TJMG301
251TJMG30,2,251TJMG303
251TJMG30,2,251TJMG301
int525TJMG30,0,No Lithology
int524TJMG30,0,No Lithology
250TJMG30,0,No Lithology
int523TJMG30,0,No Lithology
int522TJMG30,0,No Lithology
int521TJMG30,1,int521TJMG301
258TJMG30,2,258TJMG302
258TJMG30,2,258TJMG301
int537TJMG30,0,No Lithology
int536TJMG30,1,int536TJMG301
257TJMG30,0,No Lithology
int535TJMG30,1,int535TJMG301
int534TJMG30,1,int534TJMG301
256TJMG30,1,256TJMG302
int533TJMG30,0,No Lithology
int532TJMG30,0,No Lithology
255TJMG30,2,255TJMG302
255TJMG30,2,255TJMG301
int531TJMG30,1,int531TJMG301
int530TJMG30,0,No Lithology
254TJMG30,0,No Lithology
int541TJMG30,0,No Lithology
int540TJMG30,0,No Lithology
259TJMG30,0,No Lithology
int539TJMG30,0,No Lithology
int538TJMG30,0,No Lithology
262TJMG30,0,No Lithology
261TJMG30,2,261TJMG302
261TJMG30,2,261TJMG301
int549TJMG30,0,No Lithology
int543TJMG30,0,No Lithology
int548TJMG30,0,No Lithology
int542TJMG30,0,No Lithology
260TJMG30,1,260TJMG302
int572TJMG30,1,int572TJMG301
int571TJMG30,0,No Lithology
263TJMG30,0,No Lithology
int550TJMG30,0,No Lithology
int551TJMG30,1,int551TJMG301
int570TJMG30,0,No Lithology
int569TJMG30,0,No Lithology
int547TJMG30,1,int547TJMG301
265TJMG30,1,265TJMG301
int546TJMG30,0,No Lithology
int545TJMG30,0,No Lithology
264TJMG30,3,264TJMG302
264TJMG30,3,264TJMG301
264TJMG30,3,264TJMG303
int544TJMG30,0,No Lithology
int553TJMG30,0,No Lithology
int552TJMG30,0,No Lithology
int555TJMG30,0,No Lithology
int554TJMG30,0,No Lithology
266TJMG30,0,No Lithology
int564TJMG30,0,No Lithology
int563TJMG30,1,int563TJMG301
int562TJMG30,1,int562TJMG301
int561TJMG30,1,int561TJMG301
267TJMG30,0,No Lithology
270TJMG30,0,No Lithology
int576TJMG30,1,int576TJMG301
int575TJMG30,0,No Lithology
int574TJMG30,1,int574TJMG301
int573TJMG30,1,int573TJMG301
269TJMG30,2,269TJMG302
269TJMG30,2,269TJMG301
int560TJMG30,0,No Lithology
int559TJMG30,1,int559TJMG301
int558TJMG30,0,No Lithology
int557TJMG30,0,No Lithology
268TJMG30,0,No Lithology
int556TJMG30,0,No Lithology
int568TJMG30,1,int568TJMG301
int567TJMG30,0,No Lithology
272TJMG30,0,No Lithology
int566TJMG30,1,int566TJMG301
271TJMG30,0,No Lithology
int565TJMG30,0,No Lithology
int578TJMG30,0,No Lithology
int577TJMG30,0,No Lithology

Total GeologyIntervals,312,
Total Lithologies,102,
